ads_source_group;ads_source;acct_id;name_first;nickname;name_last;street_addr_1;city;all_phone_numbers;email_addr;ins_upd_customer_masters_key;new_customer_master_index;name_break_key;email_break_key;email_domain;ads_dtm_created;nickname_rnk;nickname_grp
TICKETMASTER;MSG;"1068";Andie;ANDIE ANDI ADDIE MANDIE;Young;"95 E Stillwater Ln";Schaumburg;;"";Temporary Insert;37;You;;"";2021-04-19 00:00:00;4;4
TICKETMASTER;MSG;"1079";Steve;STEVE ESTÈVE STEVIE STEEVE;Crowe;"100 N Amboy Road";Secaucus;;"";Temporary Insert;17;Cro;;"";2021-04-19 00:00:00;4;4
TICKETMASTER;MSG;"1065";Andy;ANDY PANDY ANDA ARDY;Young;"95 Stillwater Ln";Schaumburg;;"";Temporary Insert;30;You;;"";2021-04-19 00:00:00;4;4
TICKETMASTER;MSG;"1064";Andrew;ANDRÉS ANDRÉE ANDREW AUDREA;Young;"95 E Stillwater Lane";Schaumburg;;"";Temporary Insert;44;You;;"";2021-04-19 00:00:00;4;4
TICKETMASTER;MSG;"1067";Andy;ANDY PANDY ANDA ARDY;Young;"950 E Stillwater Ln";Schaumburg;;"";Temporary Insert;54;You;;"";2021-04-19 00:00:00;4;4
TICKETMASTER;MSG;"1078";Steve;STEVE ESTÈVE STEVIE STEEVE;Crowe;"100 North Amboy Rd";Secaucus;;"";Temporary Insert;21;Cro;;"";2021-04-19 00:00:00;4;4
TICKETMASTER;MSG;"1066";Andy;ANDY PANDY ANDA ARDY;Young;"95 Waterstill Ln";Schaumburg;;"";Temporary Insert;57;You;;"";2021-04-19 00:00:00;4;4
TICKETMASTER;MSG;"1077";Steve;STEVE ESTÈVE STEVIE STEEVE;Crowe;"100 N Amboy Rd";Secaucus;;"";Temporary Insert;16;Cro;;"";2021-04-19 00:00:00;4;4
TICKETMASTER;MSG;"1061";Bruce;BRYCE BRUCE BRACE BRUSE;Hamilton;"";"";;bhamilton@gmail.com;Temporary Insert;41;Ham;bhamilton;gmail.com;2021-04-19 00:00:00;4;4
TICKETMASTER;MSG;"1082";Stevie;STEVIE STEVIN STEVE STELIO;Crowe;"100 Amboy Rd";Secaucus;;"";Temporary Insert;51;Cro;;"";2021-04-19 00:00:00;4;4
TICKETMASTER;MSG;"1063";Andy;ANDY PANDY ANDA ARDY;Young;"95 East Stillwater Ln";Schaumburg;;"";Temporary Insert;8;You;;"";2021-04-19 00:00:00;4;4
TICKETMASTER;MSG;"1062";Andy;ANDY PANDY ANDA ARDY;Young;"95 E Stillwater Ln";Schaumburg;;"";Temporary Insert;65;You;;"";2021-04-19 00:00:00;4;4
TICKETMASTER;MSG;"1081";Steven;STEVEN STEVIE STEFÁN STEHEN;Crowe;"100 Amboy Rd";Secaucus;;"";Temporary Insert;53;Cro;;"";2021-04-19 00:00:00;4;4
TICKETMASTER;MSG;"1080";Steve;STEVE ESTÈVE STEVIE STEEVE;Crowe;"100 Amboy Rd";Secaucus;;"";Temporary Insert;59;Cro;;"";2021-04-19 00:00:00;4;4
